Title,Link
,/cookies/
,/cookies/
,http://www.indeed.com/salary/Data-Architect.html
,http://www.indeed.com/salary/Data-Architect.html
,http://www.indeed.com/salary/Data-Architect.html
,http://www.fluentd.org/
,http://www.fluentd.org/
,http://www.fluentd.org/
,http://www.fluentd.org/
<b>Data Engineers </b>,http://www.fluentd.org/
<b>Managers</b>,http://www.fluentd.org/
<b>Data Architects</b>,http://www.fluentd.org/
,http://www.fluentd.org/
,http://www.fluentd.org/
,http://www.fluentd.org/
<b>Common programming languages </b>,http://www.fluentd.org/
<b>Collection and ingestion </b>,https://www.treasuredata.com/
<b>Storage and management</b>,https://www.treasuredata.com/
<b>Data processing</b>,https://www.treasuredata.com/
,https://www.treasuredata.com/
,https://www.treasuredata.com/
,https://www.treasuredata.com/
,https://www.treasuredata.com/
,https://www.treasuredata.com/
"<b>Milton and Arnold. Introduction to Probability and Statistics. McGraw Hill, 1995. ISBN 0-07-113535-9</b>",https://www.treasuredata.com/
<b>The Data Science Handbook: </b>,http://www.thedatasciencehandbook.com/#get-
<b>Quora: How do I learn big data:  </b>,https://www.quora.com/How-do-I-learn-big-data-1
<b>Skills of the data architect</b>,http://www.captechconsulting.com/blogs/skills-of-the-data-architect
<b>Quora: data architect vs analyst vs engineer vs scientist:</b>,https://www.quora.com/Whats-the-difference-between-a-data-architect-data-analyst-data-engineer-and-data-scientist
<b>Python for aspring data nerds</b>,https://blog.treasuredata.com/blog/2015/04/24/python-for-aspiring-data-nerds/
<b>Logs are the Lifeblood of your data pipeline:</b>,https://www.fluentd.org/
<b>How Luigi works:</b>,http://help.mortardata.com/technologies/luigi/how_luigi_works
<b>Embulk:</b>,https://github.com/embulk/embulk
<b>Kafka Guide:</b>,http://kafka.apache.org/
<b>What every engineer should know about real time data: </b>,https://engineering.linkedin.com/distributed-systems/log-what-every-software-engineer-should-know-about-real-time-datas-unifying
<b>Data Lake overview:</b>,http://martinfowler.com/bliki/DataLake.html
<b>Hadoop overview:</b>,https://blog.pivotal.io/pivotal/products/demystifying-hadoop-in-5-pictures
<b>NoSQL cheat sheet: </b>,http://www.dummies.com/how-to/content/nosql-for-dummies-cheat-sheet.html
<b>NoSQL guide:</b>,http://nosqlguide.com/
<b>SQL vs NoSQL overview:</b>,https://www.digitalocean.com/community/tutorials/understanding-sql-and-nosql-databases-and-different-database-models
<b>Public cloud data-store comparison:</b>,http://gaul.org/object-store-comparison/
<b>Amazon Redshift guide:</b>,https://www.periscopedata.com/amazon-redshift-guide
<b>Excel to SQL with lifetime customer value:</b>,https://blog.treasuredata.com/blog/2014/12/05/learn-sql-by-calculating-customer-lifetime-value-part-1/
<b>Quora: what’s the benefit of SQL:</b>,https://www.quora.com/What-is-the-benefit-of-learning-SQL/answer/Kiyoto-Tamura
<b>Intro to Pandas:</b>,http://www.gregreda.com/2013/10/26/intro-to-pandas-data-structures/
<b>Using SQL and R to do funnel analysis</b>,https://blog.treasuredata.com/blog/2016/01/25/using-sql-and-r-to-do-funnel-analysis-part-1/
<b>Processing data with Jupyter and Pandas:</b>,https://blog.treasuredata.com/blog/2015/06/23/data-science-101-interactive-
<b>Data processing and data pipeline overview:</b>,http://flowingdata.com/
<b>Python data visualization libraries: </b>,https://www.dataquest.io/blog/python-data-visualization-libraries/
<b>Hadoop vs Elasticsearch:</b>,https://blog.treasuredata.com/blog/2015/08/31/hadoop-vs-elasticsearch-for-advanced-analytics/
<b>Python 101:</b>,http://learnpythonthehardway.org/book/
"<b>Book: McKinney, Wes.  Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython.  O’Reilly, 2013.  ISBN-13: 978-1449319793  </b>",http://learnpythonthehardway.org/book/
<b>Python and Spark intro:</b>,http://www.kdnuggets.com/2015/11/introduction-spark-python.html
<b>Using Java with Hadoop:</b>,http://www.coreservlets.com/hadoop-tutorial/
,http://www.coreservlets.com/hadoop-tutorial/
,http://get.treasuredata.com/Reading-List.html
,https://www.treasuredata.com/
